SANPHAM,MASANPHAM,TENSANPHAM,BARCODE,DONVITINH,LOAITIEN,GIAVON,GIABAN,GIADAILY,VAT,BAOHANH,HANGSANXUAT,XUATXU,CHATLIEU,MAUSAC,MOTASANPHAM,GHICHU,TIMEACTION,MA_CHI_NHANH,HOATDONG,KEYACCESS,CYL_ADD,CYL_SUB,SPH_ADD,SPH_SUB,URL_IMAGE,VITRI,MAMAUIN,MASANPHAM_DIS,NHOMSP
21464,1.49 CR S-0.75 C-1.50,Mat can ram 1.49 Korea,N000004058,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21465,1.49 CR S-0.75 C-1.75,Mat can ram 1.49 Korea,N000004099,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21466,1.49 CR S-0.75 C-2.00,Mat can ram 1.49 Korea,N000004140,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21467,1.49 CR S-1.00 C-0.00,Mat can ram 1.49 Korea,N000003852,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21468,1.49 CR S-1.00 C-0.50,Mat can ram 1.49 Korea,N000003894,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21469,1.49 CR S-1.00 C-0.75,Mat can ram 1.49 Korea,N000003936,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21470,1.49 CR S-1.00 C-1.00,Mat can ram 1.49 Korea,N000003977,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21471,1.49 CR S-1.00 C-1.25,Mat can ram 1.49 Korea,N000004018,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21472,1.49 CR S-1.00 C-1.50,Mat can ram 1.49 Korea,N000004059,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21473,1.49 CR S-1.00 C-1.75,Mat can ram 1.49 Korea,N000004100,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21474,1.49 CR S-1.00 C-2.00,Mat can ram 1.49 Korea,N000004141,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21475,1.49 CR S-1.25 C-0.00,Mat can ram 1.49 Korea,N000003853,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21476,1.49 CR S-1.25 C-0.50,Mat can ram 1.49 Korea,N000003895,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21477,1.49 CR S-1.25 C-0.75,Mat can ram 1.49 Korea,N000003937,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21478,1.49 CR S-1.25 C-1.00,Mat can ram 1.49 Korea,N000003978,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21479,1.49 CR S-1.25 C-1.25,Mat can ram 1.49 Korea,N000004019,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21480,1.49 CR S-1.25 C-1.50,Mat can ram 1.49 Korea,N000004060,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21481,1.49 CR S-1.25 C-1.75,Mat can ram 1.49 Korea,N000004101,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21482,1.49 CR S-1.25 C-2.00,Mat can ram 1.49 Korea,N000004142,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21483,1.49 CR S-1.50 C-0.00,Mat can ram 1.49 Korea,N000003854,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21484,1.49 CR S-1.50 C-0.50,Mat can ram 1.49 Korea,N000003896,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21485,1.49 CR S-1.50 C-0.75,Mat can ram 1.49 Korea,N000003938,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21486,1.49 CR S-1.50 C-1.00,Mat can ram 1.49 Korea,N000003979,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21487,1.49 CR S-1.50 C-1.25,Mat can ram 1.49 Korea,N000004020,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
